surah-no,surah-name-roman,ayah-no-surah,juz-no
1,Al-Fatihah,1,1
1,Al-Fatihah,2,1
1,Al-Fatihah,3,1
1,Al-Fatihah,4,1
1,Al-Fatihah,5,1
1,Al-Fatihah,6,1
1,Al-Fatihah,7,1
2,Al-Baqarah,1,1
2,Al-Baqarah,2,1
2,Al-Baqarah,3,1
2,Al-Baqarah,4,1
2,Al-Baqarah,5,1
2,Al-Baqarah,6,1
2,Al-Baqarah,7,1
2,Al-Baqarah,8,1
2,Al-Baqarah,9,1
2,Al-Baqarah,10,1
2,Al-Baqarah,11,1
2,Al-Baqarah,12,1
2,Al-Baqarah,13,1
2,Al-Baqarah,14,1
2,Al-Baqarah,15,1
2,Al-Baqarah,16,1
2,Al-Baqarah,17,1
2,Al-Baqarah,18,1
2,Al-Baqarah,19,1
2,Al-Baqarah,20,1
2,Al-Baqarah,21,1
2,Al-Baqarah,22,1
2,Al-Baqarah,23,1
2,Al-Baqarah,24,1
2,Al-Baqarah,25,1
2,Al-Baqarah,26,1
2,Al-Baqarah,27,1
2,Al-Baqarah,28,1
2,Al-Baqarah,29,1
2,Al-Baqarah,30,1
2,Al-Baqarah,31,1
2,Al-Baqarah,32,1
2,Al-Baqarah,33,1
2,Al-Baqarah,34,1
2,Al-Baqarah,35,1
2,Al-Baqarah,36,1
2,Al-Baqarah,37,1
2,Al-Baqarah,38,1
2,Al-Baqarah,39,1
2,Al-Baqarah,40,1
2,Al-Baqarah,41,1
2,Al-Baqarah,42,1
2,Al-Baqarah,43,1
2,Al-Baqarah,44,1
2,Al-Baqarah,45,1
2,Al-Baqarah,46,1
2,Al-Baqarah,47,1
2,Al-Baqarah,48,1
2,Al-Baqarah,49,1
2,Al-Baqarah,50,1
2,Al-Baqarah,51,1
2,Al-Baqarah,52,1
2,Al-Baqarah,53,1
2,Al-Baqarah,54,1
2,Al-Baqarah,55,1
2,Al-Baqarah,56,1
2,Al-Baqarah,57,1
2,Al-Baqarah,58,1
2,Al-Baqarah,59,1
